,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
0,0.6028402783773937,0.5257792984801524,0.5778231930219287,0.5783379475076427,0.5855951417480715,0.5559257609745208,0.5893039025458824,0.5758397686453333,0.5721950501398105,0.5303451550346182
1,0.597275917611811,0.5611918802148304,0.552594416652135,0.5875507601341191,0.5475461331309425,0.5402397561557382,0.5527134453594835,0.5709926240274865,0.5711597729792212,0.5646552302202192
2,0.5825832052911508,0.5623762630305358,0.5689180137024221,0.5921197471965387,0.5274763573058656,0.6064629317102267,0.5693798367697345,0.5833783389878995,0.5655611480484044,0.5688818711627484
3,0.5808253423369795,0.5813466596148191,0.5604252791436848,0.5869852455113027,0.5686559464684964,0.5847875705788124,0.5814046618505826,0.5592607138293646,0.557428056861355,0.5494904270555774
4,0.6094537591500875,0.5706492943811348,0.6175495802471933,0.5737436298155043,0.5800706891444933,0.5683405119154232,0.5732917732258848,0.5722280498152937,0.5532784204474364,0.5606555747679539
5,0.550417000621623,0.5989989951625825,0.616839687991515,0.5922648552564853,0.5731037028067429,0.5867602207305762,0.566363887589211,0.5863726957321987,0.562945899395499,0.5436811817993976
6,0.5636053988924783,0.5743981051321949,0.612949927574177,0.5644882440750996,0.573828724483568,0.5531605150342045,0.5551170588938665,0.5419519102088917,0.6156723894469789,0.5701437398360525
7,0.5894436564977161,0.6092680530812962,0.5522035025174685,0.5675115303851409,0.5640561200490853,0.568016598617382,0.6012812927016702,0.562725110167493,0.6156628265720088,0.5217771372005555
8,0.6035047391858405,0.571155910885305,0.5704369507893174,0.5716659622369555,0.5537639639061747,0.5845257321762858,0.6141110242132541,0.5403970968326101,0.5419392464458732,0.5350202547920306
9,0.6027661609898833,0.5258111917596646,0.5654991491840538,0.5856625289102335,0.5651952496245476,0.5611351909939855,0.6111577642166188,0.5940283415008549,0.5419284153738699,0.5438810262700325
10,0.5317616231519535,0.5843487833907672,0.6125757278208146,0.5542808177469447,0.5799772461874577,0.5467503623420993,0.5646575228491081,0.5931923435556834,0.5771567122561163,0.5783680050797809
11,0.550156027141851,0.5728490320499516,0.5795642715986373,0.5955306680038663,0.6036397790049715,0.5730559092248245,0.5929864716946157,0.5744919069659943,0.5467156540662845,0.5577473283195421
12,0.5503611282224266,0.5953741026461719,0.5759094405544164,0.5670467545745943,0.5845569404290407,0.5708996761176035,0.6003253765236327,0.5763671607756442,0.5697154156754933,0.5080099388107451
13,0.5460917950667049,0.5809636672210703,0.5814528706274005,0.5777456432647161,0.5759565965018302,0.5488513260361041,0.5730007974244788,0.5464504819258318,0.5552028733112606,0.5943987578951876
14,0.607860864630322,0.5972175037026659,0.5980896206982899,0.5506032243869476,0.5846933579654074,0.5505083599832441,0.5374519568603556,0.6031377444546023,0.6067481730428501,0.5539464775156915
